underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
GME,166.82,put,07/09/2021,07/15/2021,235.00,42.09,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,235.00,0.02,0,0,0,0,236
GME,166.82,put,07/09/2021,07/15/2021,237.50,45.21,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,237.50,0.01,0,0,0,0,213
GME,166.82,put,07/09/2021,07/15/2021,240.00,48.50,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,240.00,0.03,0,0,0,0,616
GME,166.82,put,07/09/2021,07/15/2021,242.50,52.50,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,242.50,0.01,0,0,0,0,109
GME,166.82,put,07/09/2021,07/15/2021,245.00,56.60,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,245.00,0.01,0,0,0,0,354
GME,166.82,put,07/09/2021,07/15/2021,247.50,46.75,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,247.50,0.01,0,0,0,0,193
GME,166.82,put,07/09/2021,07/15/2021,250.00,59.15,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,250.00,0.01,0,0,0,0,3355
GME,166.82,put,07/09/2021,07/15/2021,252.50,62.05,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,252.50,0.02,0,0,0,0,135
GME,166.82,put,07/09/2021,07/15/2021,255.00,62.18,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,255.00,0.01,0,0,0,0,173
GME,166.82,put,07/09/2021,07/15/2021,257.50,66.61,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,257.50,0.01,0,0,0,0,89
GME,166.82,put,07/09/2021,07/15/2021,260.00,69.87,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,260.00,0.01,0,0,0,0,341
GME,166.82,put,07/09/2021,07/15/2021,262.50,72.35,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,262.50,0.01,0,0,0,0,71
GME,166.82,put,07/09/2021,07/15/2021,265.00,74.12,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,265.00,0.01,0,0,0,0,672
GME,166.82,put,07/09/2021,07/15/2021,267.50,78.99,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,267.50,0.01,0,0,0,0,65
GME,166.82,put,07/09/2021,07/15/2021,270.00,80.49,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,270.00,0.01,0,0,0,0,317
GME,166.82,put,07/09/2021,07/15/2021,272.50,71.42,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,272.50,0.03,0,0,0,0,94
GME,166.82,put,07/09/2021,07/15/2021,275.00,88.31,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,275.00,0.01,0,0,0,0,976
GME,166.82,put,07/09/2021,07/15/2021,277.50,90.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,277.50,0.01,0,0,0,0,93
GME,166.82,put,07/09/2021,07/15/2021,280.00,90.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,280.00,0.01,0,0,0,0,1681
GME,166.82,put,07/09/2021,07/15/2021,282.50,98.55,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,282.50,0.02,0,0,0,0,44
GME,166.82,put,07/09/2021,07/15/2021,285.00,91.81,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,285.00,0.02,0,0,0,0,96
GME,166.82,put,07/09/2021,07/15/2021,287.50,94.61,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,287.50,0.03,0,0,0,0,25
GME,166.82,put,07/09/2021,07/15/2021,290.00,103.89,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,290.00,0.01,0,0,0,0,214
GME,166.82,put,07/09/2021,07/15/2021,292.50,65.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,292.50,0.01,0,0,0,0,33
GME,166.82,put,07/09/2021,07/15/2021,295.00,115.70,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,295.00,0.04,0,0,0,0,75
GME,166.82,put,07/09/2021,07/15/2021,297.50,91.05,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,297.50,0.08,0,0,0,0,44
GME,166.82,put,07/09/2021,07/15/2021,300.00,111.44,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,300.00,0.02,0,0,0,0,3065
GME,166.82,put,07/09/2021,07/15/2021,302.50,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,302.50,0.02,0,0,0,0,66
GME,166.82,put,07/09/2021,07/15/2021,305.00,110.15,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,305.00,0.01,0,0,0,0,344
GME,166.82,put,07/09/2021,07/15/2021,307.50,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,307.50,0.01,0,0,0,0,54
GME,166.82,put,07/09/2021,07/15/2021,310.00,101.98,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,310.00,0.01,0,0,0,0,484
GME,166.82,put,07/09/2021,07/15/2021,312.50,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,312.50,0.09,0,0,0,0,12
GME,166.82,put,07/09/2021,07/15/2021,315.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,315.00,0.01,0,0,0,0,116
GME,166.82,put,07/09/2021,07/15/2021,320.00,121.54,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,320.00,0.03,0,0,0,0,392
GME,166.82,put,07/09/2021,07/15/2021,325.00,116.25,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,325.00,0.05,0,0,0,0,124
GME,166.82,put,07/09/2021,07/15/2021,330.00,120.84,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,330.00,0.01,0,0,0,0,275
GME,166.82,put,07/09/2021,07/15/2021,335.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,335.00,0.05,0,0,0,0,81
GME,166.82,put,07/09/2021,07/15/2021,340.00,149.80,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,340.00,0.01,0,0,0,0,276
GME,166.82,put,07/09/2021,07/15/2021,345.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,345.00,0.01,0,0,0,0,166
GME,166.82,put,07/09/2021,07/15/2021,350.00,159.67,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,350.00,0.01,0,0,0,0,2450
GME,166.82,put,07/09/2021,07/15/2021,355.00,158.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,355.00,0.01,0,0,0,0,167
GME,166.82,put,07/09/2021,07/15/2021,360.00,167.12,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,360.00,0.01,0,0,0,0,103
GME,166.82,put,07/09/2021,07/15/2021,365.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,365.00,0.17,0,0,0,0,19
GME,166.82,put,07/09/2021,07/15/2021,370.00,163.90,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,370.00,0.01,0,0,0,0,448
GME,166.82,put,07/09/2021,07/15/2021,375.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,375.00,0.01,0,0,0,0,33
GME,166.82,put,07/09/2021,07/15/2021,380.00,168.75,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,380.00,0.01,0,0,0,0,275
GME,166.82,put,07/09/2021,07/15/2021,390.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,390.00,0.02,0,0,0,0,149
GME,166.82,put,07/09/2021,07/15/2021,400.00,210.52,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,400.00,0.01,0,0,0,0,1837
GME,166.82,put,07/09/2021,07/15/2021,410.00,221.25,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,410.00,0.02,0,0,0,0,322
GME,166.82,put,07/09/2021,07/15/2021,420.00,231.25,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,420.00,0.01,0,0,0,0,169
GME,166.82,put,07/09/2021,07/15/2021,430.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,430.00,0.03,0,0,0,0,22
GME,166.82,put,07/09/2021,07/15/2021,440.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,440.00,0.01,0,0,0,0,133
GME,166.82,put,07/09/2021,07/15/2021,450.00,241.60,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,450.00,0.01,0,0,0,0,891
GME,166.82,put,07/09/2021,07/15/2021,460.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,460.00,0.01,0,0,0,0,140
GME,166.82,put,07/09/2021,07/15/2021,470.00,271.55,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,470.00,0.03,0,0,0,0,68
GME,166.82,put,07/09/2021,07/15/2021,480.00,214.30,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,480.00,0.15,0,0,0,0,149
GME,166.82,put,07/09/2021,07/15/2021,490.00,291.55,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,490.00,0.01,0,0,0,0,200
GME,166.82,put,07/09/2021,07/15/2021,500.00,308.85,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,500.00,0.01,0,0,0,0,750
GME,166.82,put,07/09/2021,07/15/2021,510.00,242.40,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,510.00,0.03,0,0,0,0,19
GME,166.82,put,07/09/2021,07/15/2021,520.00,328.44,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,520.00,0.01,0,0,0,0,68
GME,166.82,put,07/09/2021,07/15/2021,530.00,260.30,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,530.00,0.03,0,0,0,0,52
GME,166.82,put,07/09/2021,07/15/2021,540.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,540.00,0.06,0,0,0,0,237
GME,166.82,put,07/09/2021,07/15/2021,550.00,333.00,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,550.00,0.01,0,0,0,0,205
GME,166.82,put,07/09/2021,07/15/2021,560.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,560.00,0.04,0,0,0,0,23
GME,166.82,put,07/09/2021,07/15/2021,570.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,570.00,0.31,0,0,0,0,28
GME,166.82,put,07/09/2021,07/15/2021,580.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,580.00,0.05,0,0,0,0,246
GME,166.82,put,07/09/2021,07/15/2021,590.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,590.00,0.06,0,0,0,0,17
GME,166.82,put,07/09/2021,07/15/2021,600.00,0,0,0,0,0,0
GME,166.82,call,07/09/2021,07/15/2021,600.00,0.01,0,0,0,0,890
GME,166.82,put,07/09/2021,07/15/2021,610.00,0,0,0,0,0,0
