DATE SYMBOL CUSIP
2020-07-07 XLSR 78470P408
2020-07-08 AMC 00165C104
2020-07-08 BGG 109043109
2020-07-08 CCOR 53656F847
2020-07-08 CHAP 15942R208
2020-07-08 CMCL G1757E113
2020-07-08 CRC 13057Q206
2020-07-08 DUST 25460G880
2020-07-08 EWG 464286806
2020-07-08 EWI 46434G830
2020-07-08 FISR 78470P507
2020-07-08 FXA 46090N103
2020-07-08 GSSC 381430602
2020-07-08 HIBS 25460E331
2020-07-08 HSMV 33741Y100
2020-07-08 HTZ 42806J106
2020-07-08 HYGV 33939L662
2020-07-08 IDRV 46435U366
2020-07-08 IWM 464287655
2020-07-08 JDST 25460G807
2020-07-08 LABD 25460E539
2020-07-08 LCR 527289789
2020-07-08 LGH 66538R730
2020-07-08 LGOV 33738D606
2020-07-08 MARB 33740J203
2020-07-08 MITT 001228105
2020-07-08 ONLN 74347B169
2020-07-08 PHDG 46090A705
2020-07-08 QQH 66538R748
2020-07-08 RWM 74348A210
2020-07-08 SGDJ 85210B201
2020-07-08 SRTY 74348A152
2020-07-08 TLRD 87403A107
2020-07-08 TMBR 887080109
2020-07-08 TMF 25459W540
2020-07-08 URTY 74347X799
2020-07-08 UWM 74347R842
2020-07-08 VAL G9402V109
2020-07-08 WLL 966387409
2020-07-08 XBUY 032108870
2020-07-08 XLSR 78470P408
2020-07-09 ACY 007737109
2020-07-09 AMC 00165C104
2020-07-09 BGG 109043109
2020-07-09 CCOR 53656F847
2020-07-09 CHAP 15942R208
2020-07-09 CMCL G1757E113
2020-07-09 CRC 13057Q206
2020-07-09 DUST 25460G880
2020-07-09 EWG 464286806
2020-07-09 EWH 464286871
2020-07-09 EWI 46434G830
2020-07-09 FISR 78470P507
2020-07-09 FXA 46090N103
2020-07-09 GSSC 381430602
2020-07-09 HIBS 25460E331
2020-07-09 HSMV 33741Y100
2020-07-09 HTZ 42806J106
2020-07-09 HYGV 33939L662
2020-07-09 IDRV 46435U366
2020-07-09 IWM 464287655
2020-07-09 JDST 25460G807
2020-07-09 KOLD 74347W387
2020-07-09 LABD 25460E539
2020-07-09 LCR 527289789
2020-07-09 LGH 66538R730
2020-07-09 LGOV 33738D606
2020-07-09 MARB 33740J203
2020-07-09 MITT 001228105
2020-07-09 ONLN 74347B169
2020-07-09 PHDG 46090A705
2020-07-09 PPTY 26922A511
2020-07-09 QQH 66538R748
2020-07-09 SGDJ 85210B201
2020-07-09 SRTY 74348A152
2020-07-09 TLRD 87403A107
2020-07-09 TMBR 887080109
2020-07-09 TMF 25459W540
2020-07-09 URTY 74347X799
2020-07-09 UWM 74347R842
2020-07-09 VAL G9402V109
2020-07-09 WFH 25460G773
2020-07-09 WLL 966387409
2020-07-09 XBUY 032108870
2020-07-09 XLSR 78470P408
2020-07-10 ACY 007737109
2020-07-10 AMC 00165C104
2020-07-10 BGG 109043109
2020-07-10 CCOR 53656F847
2020-07-10 CHAP 15942R208
2020-07-10 CHAU 25490K869
2020-07-10 CHIS 37954Y558
2020-07-10 CMCL G1757E113
2020-07-10 CRC 13057Q206
2020-07-10 DUST 25460G880
2020-07-10 EWG 464286806
2020-07-10 EWH 464286871
2020-07-10 EWI 46434G830
2020-07-10 FISR 78470P507
2020-07-10 FXA 46090N103
2020-07-10 FXI 464287184
2020-07-10 GSSC 381430602
2020-07-10 HIBS 25460E331
2020-07-10 HSMV 33741Y100
2020-07-10 HTZ 42806J106
2020-07-10 IDRV 46435U366
2020-07-10 IWM 464287655
2020-07-10 JOYY 45687D106
2020-07-10 KOLD 74347W387
2020-07-10 LCR 527289789
2020-07-10 LGH 66538R730
2020-07-10 LGOV 33738D606
2020-07-10 MARB 33740J203
2020-07-10 ONLN 74347B169
2020-07-10 PHDG 46090A705
2020-07-10 PPTY 26922A511
2020-07-10 QQH 66538R748
2020-07-10 SGDJ 85210B201
2020-07-10 SRTY 74348A152
2020-07-10 TLRD 87403A107
2020-07-10 TMBR 887080109
2020-07-10 TMF 25459W540
2020-07-10 URTY 74347X799
2020-07-10 UWM 74347R842
2020-07-10 VAL G9402V109
2020-07-10 WFH 25460G773
2020-07-10 WLL 966387409
2020-07-10 XBUY 032108870
2020-07-10 XLSR 78470P408
2020-07-13 ACY 007737109
2020-07-13 AMC 00165C104
2020-07-13 BGG 109043109
2020-07-13 CCOR 53656F847
2020-07-13 CHAP 15942R208
2020-07-13 CHAU 25490K869
2020-07-13 CHIS 37954Y558
2020-07-13 CMCL G1757E113
2020-07-13 CRC 13057Q206
2020-07-13 DUST 25460G880
2020-07-13 EWG 464286806
2020-07-13 EWH 464286871
2020-07-13 EWI 46434G830
2020-07-13 FISR 78470P507
2020-07-13 FXA 46090N103
2020-07-13 FXI 464287184
2020-07-13 GSSC 381430602
2020-07-13 HIBS 25460E331
2020-07-13 HSMV 33741Y100
2020-07-13 HTZ 42806J106
2020-07-13 IDRV 46435U366
2020-07-13 IWM 464287655
2020-07-13 JOYY 45687D106
2020-07-13 KOLD 74347W387
2020-07-13 LCR 527289789
2020-07-13 LGH 66538R730
2020-07-13 LGOV 33738D606
2020-07-13 MARB 33740J203
2020-07-13 ONLN 74347B169
2020-07-13 PHDG 46090A705
2020-07-13 PPTY 26922A511
2020-07-13 QQH 66538R748
2020-07-13 SGDJ 85210B201
2020-07-13 SRTY 74348A152
2020-07-13 TLRD 87403A107
2020-07-13 TMF 25459W540
2020-07-13 URTY 74347X799
2020-07-13 UWM 74347R842
2020-07-13 VAL G9402V109
2020-07-13 WFH 25460G773
2020-07-13 WLL 966387409
2020-07-13 XBUY 032108870
2020-07-13 XLSR 78470P408
2020-07-14 ACY 007737109
2020-07-14 AMC 00165C104
2020-07-14 BGG 109043109
2020-07-14 CCOR 53656F847
2020-07-14 CHAU 25490K869
2020-07-14 CHIS 37954Y558
2020-07-14 CRC 13057Q206
2020-07-14 DUST 25460G880
2020-07-14 EWG 464286806
2020-07-14 EWH 464286871
2020-07-14 EWI 46434G830
2020-07-14 FXI 464287184
2020-07-14 GSSC 381430602
2020-07-14 HIBS 25460E331
2020-07-14 HSMV 33741Y100
2020-07-14 HTZ 42806J106
2020-07-14 IDRV 46435U366
2020-07-14 IWM 464287655
2020-07-14 JOYY 45687D106
2020-07-14 KOLD 74347W387
2020-07-14 LCR 527289789
2020-07-14 LGH 66538R730
2020-07-14 MARB 33740J203
2020-07-14 ONLN 74347B169
2020-07-14 PHDG 46090A705
2020-07-14 PPTY 26922A511
2020-07-14 QQH 66538R748
2020-07-14 SGDJ 85210B201
2020-07-14 SRTY 74348A152
2020-07-14 TLRD 87403A107
2020-07-14 TMF 25459W540
2020-07-14 URTY 74347X799
2020-07-14 UWM 74347R842
2020-07-14 VAL G9402V109
2020-07-14 WFH 25460G773
2020-07-14 WLL 966387409
2020-07-14 XBUY 032108870
2020-07-14 XLSR 78470P408
2020-07-15 AAAU 715426102
2020-07-15 ACY 007737109
2020-07-15 AMC 00165C104
2020-07-15 CCOR 53656F847
2020-07-15 CHAU 25490K869
