underlying,underlying_last,type,expiration,quotedate,strike,last,change,bid,ask,volume,openinterest
AMC,36,put,07/09/2021,07/15/2021,13.00,0.01,0,0,0,0,5071
AMC,36,call,07/09/2021,07/15/2021,13.00,33.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,13.50,0.01,0,0,0,0,1655
AMC,36,call,07/09/2021,07/15/2021,13.50,32.65,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,14.00,0.01,0,0,0,0,1813
AMC,36,call,07/09/2021,07/15/2021,14.00,32.60,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,14.50,0.01,0,0,0,0,2185
AMC,36,call,07/09/2021,07/15/2021,14.50,31.80,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,15.00,0.01,0,0,0,0,8431
AMC,36,call,07/09/2021,07/15/2021,15.00,31.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,15.50,0.01,0,0,0,0,756
AMC,36,call,07/09/2021,07/15/2021,15.50,30.45,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,16.00,0.01,0,0,0,0,2004
AMC,36,call,07/09/2021,07/15/2021,16.00,30.98,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,16.50,0.01,0,0,0,0,235
AMC,36,call,07/09/2021,07/15/2021,16.50,29.80,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,17.00,0.01,0,0,0,0,1660
AMC,36,call,07/09/2021,07/15/2021,17.00,29.52,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,17.50,0.01,0,0,0,0,921
AMC,36,call,07/09/2021,07/15/2021,17.50,29.10,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,18.00,0.01,0,0,0,0,717
AMC,36,call,07/09/2021,07/15/2021,18.00,28.47,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,18.50,0.01,0,0,0,0,269
AMC,36,call,07/09/2021,07/15/2021,18.50,28.60,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,19.00,0.01,0,0,0,0,508
AMC,36,call,07/09/2021,07/15/2021,19.00,26.94,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,19.50,0.01,0,0,0,0,553
AMC,36,call,07/09/2021,07/15/2021,19.50,26.85,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,20.00,0.01,0,0,0,0,5227
AMC,36,call,07/09/2021,07/15/2021,20.00,26.66,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,20.50,0.01,0,0,0,0,786
AMC,36,call,07/09/2021,07/15/2021,20.50,25.80,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,21.00,0.01,0,0,0,0,454
AMC,36,call,07/09/2021,07/15/2021,21.00,25.54,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,21.50,0.01,0,0,0,0,336
AMC,36,call,07/09/2021,07/15/2021,21.50,24.40,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,22.00,0.01,0,0,0,0,845
AMC,36,call,07/09/2021,07/15/2021,22.00,24.34,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,22.50,0.01,0,0,0,0,1026
AMC,36,call,07/09/2021,07/15/2021,22.50,24.05,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,23.00,0.01,0,0,0,0,410
AMC,36,call,07/09/2021,07/15/2021,23.00,23.30,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,23.50,0.01,0,0,0,0,930
AMC,36,call,07/09/2021,07/15/2021,23.50,22.75,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,24.00,0.01,0,0,0,0,804
AMC,36,call,07/09/2021,07/15/2021,24.00,22.15,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,24.50,0.01,0,0,0,0,792
AMC,36,call,07/09/2021,07/15/2021,24.50,21.55,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,25.00,0.01,0,0,0,0,2593
AMC,36,call,07/09/2021,07/15/2021,25.00,21.44,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,26.00,0.01,0,0,0,0,1033
AMC,36,call,07/09/2021,07/15/2021,26.00,20.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,27.00,0.01,0,0,0,0,1083
AMC,36,call,07/09/2021,07/15/2021,27.00,19.20,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,28.00,0.01,0,0,0,0,2190
AMC,36,call,07/09/2021,07/15/2021,28.00,18.31,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,29.00,0.01,0,0,0,0,1532
AMC,36,call,07/09/2021,07/15/2021,29.00,17.00,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,30.00,0.01,0,0,0,0,15380
AMC,36,call,07/09/2021,07/15/2021,30.00,16.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,31.00,0.01,0,0,0,0,1286
AMC,36,call,07/09/2021,07/15/2021,31.00,14.94,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,32.00,0.01,0,0,0,0,1774
AMC,36,call,07/09/2021,07/15/2021,32.00,14.59,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,33.00,0.01,0,0,0,0,1838
AMC,36,call,07/09/2021,07/15/2021,33.00,13.26,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,34.00,0.01,0,0,0,0,1419
AMC,36,call,07/09/2021,07/15/2021,34.00,12.30,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,35.00,0.01,0,0,0,0,6226
AMC,36,call,07/09/2021,07/15/2021,35.00,11.64,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,36.00,0.01,0,0,0,0,2465
AMC,36,call,07/09/2021,07/15/2021,36.00,10.29,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,37.00,0.01,0,0,0,0,2527
AMC,36,call,07/09/2021,07/15/2021,37.00,9.60,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,38.00,0.01,0,0,0,0,3470
AMC,36,call,07/09/2021,07/15/2021,38.00,8.35,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,39.00,0.01,0,0,0,0,3103
AMC,36,call,07/09/2021,07/15/2021,39.00,7.80,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,40.00,0.01,0,0,0,0,9843
AMC,36,call,07/09/2021,07/15/2021,40.00,6.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,41.00,0.01,0,0,0,0,3319
AMC,36,call,07/09/2021,07/15/2021,41.00,5.40,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,42.00,0.01,0,0,0,0,3673
AMC,36,call,07/09/2021,07/15/2021,42.00,4.25,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,43.00,0.01,0,0,0,0,2987
AMC,36,call,07/09/2021,07/15/2021,43.00,3.35,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,44.00,0.01,0,0,0,0,2612
AMC,36,call,07/09/2021,07/15/2021,44.00,2.27,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,45.00,0.01,0,0,0,0,7387
AMC,36,call,07/09/2021,07/15/2021,45.00,1.10,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,46.00,0.03,0,0,0,0,6375
AMC,36,call,07/09/2021,07/15/2021,46.00,0.33,0,0,0,0,0
AMC,36,put,07/09/2021,07/15/2021,47.00,0.73,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,47.00,0.01,0,0,0,0,6800
AMC,36,put,07/09/2021,07/15/2021,48.00,1.80,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,48.00,0.01,0,0,0,0,7403
AMC,36,put,07/09/2021,07/15/2021,48.50,2.23,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,48.50,0.05,0,0,0,0,2719
AMC,36,put,07/09/2021,07/15/2021,49.00,2.77,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,49.00,0.01,0,0,0,0,4935
AMC,36,put,07/09/2021,07/15/2021,50.00,3.73,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,50.00,0.01,0,0,0,0,18924
AMC,36,put,07/09/2021,07/15/2021,51.00,4.75,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,51.00,0.01,0,0,0,0,5537
AMC,36,put,07/09/2021,07/15/2021,52.00,5.70,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,52.00,0.01,0,0,0,0,5404
AMC,36,put,07/09/2021,07/15/2021,53.00,6.82,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,53.00,0.02,0,0,0,0,5969
AMC,36,put,07/09/2021,07/15/2021,54.00,7.66,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,54.00,0.01,0,0,0,0,5933
AMC,36,put,07/09/2021,07/15/2021,55.00,8.70,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,55.00,0.01,0,0,0,0,16034
AMC,36,put,07/09/2021,07/15/2021,56.00,9.68,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,56.00,0.01,0,0,0,0,4114
AMC,36,put,07/09/2021,07/15/2021,57.00,10.65,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,57.00,0.01,0,0,0,0,3776
AMC,36,put,07/09/2021,07/15/2021,58.00,11.78,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,58.00,0.01,0,0,0,0,5194
AMC,36,put,07/09/2021,07/15/2021,59.00,12.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,59.00,0.01,0,0,0,0,5001
AMC,36,put,07/09/2021,07/15/2021,60.00,13.65,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,60.00,0.01,0,0,0,0,16871
AMC,36,put,07/09/2021,07/15/2021,61.00,14.75,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,61.00,0.01,0,0,0,0,2617
AMC,36,put,07/09/2021,07/15/2021,62.00,15.95,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,62.00,0.01,0,0,0,0,1872
AMC,36,put,07/09/2021,07/15/2021,63.00,16.77,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,63.00,0.01,0,0,0,0,1374
AMC,36,put,07/09/2021,07/15/2021,64.00,17.70,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,64.00,0.01,0,0,0,0,2832
AMC,36,put,07/09/2021,07/15/2021,65.00,18.75,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,65.00,0.01,0,0,0,0,7524
AMC,36,put,07/09/2021,07/15/2021,66.00,19.50,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,66.00,0.01,0,0,0,0,1951
AMC,36,put,07/09/2021,07/15/2021,67.00,20.47,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,67.00,0.01,0,0,0,0,1462
AMC,36,put,07/09/2021,07/15/2021,68.00,21.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,68.00,0.02,0,0,0,0,906
AMC,36,put,07/09/2021,07/15/2021,69.00,21.80,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,69.00,0.01,0,0,0,0,1763
AMC,36,put,07/09/2021,07/15/2021,70.00,23.80,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,70.00,0.01,0,0,0,0,9708
AMC,36,put,07/09/2021,07/15/2021,71.00,24.85,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,71.00,0.01,0,0,0,0,5033
AMC,36,put,07/09/2021,07/15/2021,72.00,25.55,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,72.00,0.01,0,0,0,0,1103
AMC,36,put,07/09/2021,07/15/2021,73.00,26.05,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,73.00,0.01,0,0,0,0,1502
AMC,36,put,07/09/2021,07/15/2021,74.00,27.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,74.00,0.01,0,0,0,0,1242
AMC,36,put,07/09/2021,07/15/2021,75.00,28.50,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,75.00,0.01,0,0,0,0,7481
AMC,36,put,07/09/2021,07/15/2021,76.00,29.15,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,76.00,0.10,0,0,0,0,643
AMC,36,put,07/09/2021,07/15/2021,77.00,29.35,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,77.00,0.01,0,0,0,0,619
AMC,36,put,07/09/2021,07/15/2021,78.00,31.00,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,78.00,0.01,0,0,0,0,556
AMC,36,put,07/09/2021,07/15/2021,79.00,33.10,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,79.00,0.01,0,0,0,0,1379
AMC,36,put,07/09/2021,07/15/2021,80.00,33.63,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,80.00,0.01,0,0,0,0,5831
AMC,36,put,07/09/2021,07/15/2021,81.00,33.26,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,81.00,0.01,0,0,0,0,655
AMC,36,put,07/09/2021,07/15/2021,82.00,35.35,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,82.00,0.01,0,0,0,0,857
AMC,36,put,07/09/2021,07/15/2021,83.00,36.10,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,83.00,0.01,0,0,0,0,330
AMC,36,put,07/09/2021,07/15/2021,84.00,36.45,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,84.00,0.01,0,0,0,0,246
AMC,36,put,07/09/2021,07/15/2021,85.00,38.15,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,85.00,0.04,0,0,0,0,1652
AMC,36,put,07/09/2021,07/15/2021,86.00,37.35,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,86.00,0.01,0,0,0,0,316
AMC,36,put,07/09/2021,07/15/2021,87.00,40.70,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,87.00,0.01,0,0,0,0,597
AMC,36,put,07/09/2021,07/15/2021,88.00,42.75,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,88.00,0.01,0,0,0,0,472
AMC,36,put,07/09/2021,07/15/2021,89.00,40.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,89.00,0.01,0,0,0,0,331
AMC,36,put,07/09/2021,07/15/2021,90.00,43.10,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,90.00,0.02,0,0,0,0,3396
AMC,36,put,07/09/2021,07/15/2021,91.00,42.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,91.00,0.01,0,0,0,0,655
AMC,36,put,07/09/2021,07/15/2021,92.00,44.50,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,92.00,0.01,0,0,0,0,456
AMC,36,put,07/09/2021,07/15/2021,93.00,46.05,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,93.00,0.01,0,0,0,0,559
AMC,36,put,07/09/2021,07/15/2021,94.00,45.40,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,94.00,0.01,0,0,0,0,388
AMC,36,put,07/09/2021,07/15/2021,95.00,48.15,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,95.00,0.01,0,0,0,0,699
AMC,36,put,07/09/2021,07/15/2021,96.00,49.50,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,96.00,0.01,0,0,0,0,678
AMC,36,put,07/09/2021,07/15/2021,100.00,53.55,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,100.00,0.01,0,0,0,0,12554
AMC,36,put,07/09/2021,07/15/2021,105.00,58.80,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,105.00,0.01,0,0,0,0,2861
AMC,36,put,07/09/2021,07/15/2021,110.00,62.30,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,110.00,0.01,0,0,0,0,5195
AMC,36,put,07/09/2021,07/15/2021,115.00,67.85,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,115.00,0.01,0,0,0,0,1271
AMC,36,put,07/09/2021,07/15/2021,120.00,73.05,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,120.00,0.01,0,0,0,0,2682
AMC,36,put,07/09/2021,07/15/2021,125.00,77.90,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,125.00,0.01,0,0,0,0,1536
AMC,36,put,07/09/2021,07/15/2021,130.00,82.30,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,130.00,0.01,0,0,0,0,1875
AMC,36,put,07/09/2021,07/15/2021,135.00,88.50,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,135.00,0.01,0,0,0,0,2132
AMC,36,put,07/09/2021,07/15/2021,140.00,92.86,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,140.00,0.01,0,0,0,0,5976
AMC,36,put,07/09/2021,07/15/2021,145.00,98.68,0,0,0,0,0
AMC,36,call,07/09/2021,07/15/2021,145.00,0.01,0,0,0,0,48457
AMC,36,put,07/16/2021,07/15/2021,1.00,0.01,0,0,0.01,8,2749
AMC,36,call,07/16/2021,07/15/2021,1.00,35.00,2.45,34.80,35.70,97,151
AMC,36,put,07/16/2021,07/15/2021,2.00,0.01,0,0,0.01,0,1012
AMC,36,call,07/16/2021,07/15/2021,2.00,33.95,2.02,33.85,34.75,52,78
AMC,36,put,07/16/2021,07/15/2021,3.00,0.01,0,0,0.01,0,2309
AMC,36,call,07/16/2021,07/15/2021,3.00,30.60,-1.40,32.90,33.20,48,42
AMC,36,put,07/16/2021,07/15/2021,4.00,0.01,0,0,0.01,0,2010
AMC,36,call,07/16/2021,07/15/2021,4.00,32.05,1.65,31.85,32.25,76,103
AMC,36,put,07/16/2021,07/15/2021,5.00,0.01,0,0,0.01,0,3855
AMC,36,call,07/16/2021,07/15/2021,5.00,31.10,2.70,30.90,31.30,61,67
AMC,36,put,07/16/2021,07/15/2021,6.00,0.01,0,0,0.01,1,5736
AMC,36,call,07/16/2021,07/15/2021,6.00,29.90,0.45,29.90,30.10,75,122
AMC,36,put,07/16/2021,07/15/2021,7.00,0.01,0,0,0.01,0,7726
AMC,36,call,07/16/2021,07/15/2021,7.00,29.00,2.53,28.85,29.40,63,207
AMC,36,put,07/16/2021,07/15/2021,8.00,0.01,0,0,0.01,68,12417
AMC,36,call,07/16/2021,07/15/2021,8.00,27.50,0.15,27.90,28.10,87,221
AMC,36,put,07/16/2021,07/15/2021,9.00,0.01,0,0,0.01,0,9607
AMC,36,call,07/16/2021,07/15/2021,9.00,26.30,1.80,26.90,27.10,73,58
AMC,36,put,07/16/2021,07/15/2021,10.00,0.01,0,0,0.01,13,38317
AMC,36,call,07/16/2021,07/15/2021,10.00,26.00,1.40,25.85,26.15,92,326
AMC,36,put,07/16/2021,07/15/2021,11.00,0.01,0,0,0.01,1,6121
AMC,36,call,07/16/2021,07/15/2021,11.00,25.00,1.95,24.90,25.10,77,535
AMC,36,put,07/16/2021,07/15/2021,12.00,0.01,-0.02,0,0.01,132,12738
AMC,36,call,07/16/2021,07/15/2021,12.00,23.40,0.20,23.85,24.10,115,782
AMC,36,put,07/16/2021,07/15/2021,13.00,0.01,0,0,0.01,65,16670
AMC,36,call,07/16/2021,07/15/2021,13.00,22.15,1.74,22.90,23.10,205,789
AMC,36,put,07/16/2021,07/15/2021,14.00,0.01,-0.02,0,0.01,138,15646
AMC,36,call,07/16/2021,07/15/2021,14.00,22.00,2.51,21.75,22.20,244,553
AMC,36,put,07/16/2021,07/15/2021,15.00,0.01,-0.01,0,0.01,161,27735
AMC,36,call,07/16/2021,07/15/2021,15.00,21.07,2.56,20.80,21.15,425,1243
AMC,36,put,07/16/2021,07/15/2021,16.00,0.01,0,0,0.01,194,6972
AMC,36,call,07/16/2021,07/15/2021,16.00,18.91,0.86,19.65,20.10,164,8661
AMC,36,put,07/16/2021,07/15/2021,17.00,0.01,-0.02,0,0.02,483,3199
AMC,36,call,07/16/2021,07/15/2021,17.00,19.05,2.35,18.75,19.05,202,1395
AMC,36,put,07/16/2021,07/15/2021,18.00,0.01,-0.02,0.01,0.02,866,26639
AMC,36,call,07/16/2021,07/15/2021,18.00,17.79,1.95,17.65,18.45,262,888
AMC,36,put,07/16/2021,07/15/2021,19.00,0.01,-0.03,0.01,0.02,395,2972
AMC,36,call,07/16/2021,07/15/2021,19.00,15.96,0.76,16.70,17.10,467,746
AMC,36,put,07/16/2021,07/15/2021,20.00,0.01,-0.06,0.01,0.02,7198,89847
AMC,36,call,07/16/2021,07/15/2021,20.00,15.98,2.53,15.45,16.10,468,2601
AMC,36,put,07/16/2021,07/15/2021,21.00,0.01,-0.08,0.01,0.02,3693,4716
AMC,36,call,07/16/2021,07/15/2021,21.00,14.80,1.05,14.85,15.30,258,407
AMC,36,put,07/16/2021,07/15/2021,22.00,0.01,-0.10,0.01,0.03,1451,5373
AMC,36,call,07/16/2021,07/15/2021,22.00,13.95,1.95,13.70,14.15,221,478
AMC,36,put,07/16/2021,07/15/2021,23.00,0.03,-0.13,0.02,0.03,3333,17063
AMC,36,call,07/16/2021,07/15/2021,23.00,13.10,2.55,12.75,13.80,265,604
AMC,36,put,07/16/2021,07/15/2021,24.00,0.04,-0.18,0.02,0.04,2652,7281
AMC,36,call,07/16/2021,07/15/2021,24.00,12.02,0.59,11.45,12.85,99,558
AMC,36,put,07/16/2021,07/15/2021,25.00,0.05,-0.26,0.04,0.05,12657,36224
AMC,36,call,07/16/2021,07/15/2021,25.00,11.00,2.35,10.50,11.20,386,5195
AMC,36,put,07/16/2021,07/15/2021,26.00,0.06,-0.36,0.06,0.07,7420,5763
AMC,36,call,07/16/2021,07/15/2021,26.00,10.11,2.31,9.75,10.20,144,2434
AMC,36,put,07/16/2021,07/15/2021,27.00,0.08,-0.46,0.07,0.09,4168,6257
AMC,36,call,07/16/2021,07/15/2021,27.00,8.30,1.23,8.70,9.20,166,929
AMC,36,put,07/16/2021,07/15/2021,28.00,0.10,-0.61,0.10,0.16,12833,7420
AMC,36,call,07/16/2021,07/15/2021,28.00,8.05,1.05,7.90,8.20,204,361
AMC,36,put,07/16/2021,07/15/2021,29.00,0.12,-0.79,0.11,0.12,5404,3786
AMC,36,call,07/16/2021,07/15/2021,29.00,7.09,1.84,6.60,7.20,410,347
AMC,36,put,07/16/2021,07/15/2021,30.00,0.17,-0.97,0.16,0.17,50550,31622
AMC,36,call,07/16/2021,07/15/2021,30.00,6.19,1.69,6.15,6.30,4088,9183
AMC,36,put,07/16/2021,07/15/2021,31.00,0.21,-1.19,0.22,0.23,13558,4780
AMC,36,call,07/16/2021,07/15/2021,31.00,5.15,1.39,5.05,5.35,881,481
AMC,36,put,07/16/2021,07/15/2021,32.00,0.29,-1.44,0.28,0.29,27016,6524
AMC,36,call,07/16/2021,07/15/2021,32.00,4.30,1.16,4.25,4.35,2817,1331
AMC,36,put,07/16/2021,07/15/2021,33.00,0.42,-1.70,0.42,0.44,26208,8128
AMC,36,call,07/16/2021,07/15/2021,33.00,3.58,0.99,3.35,3.50,6441,4781
AMC,36,put,07/16/2021,07/15/2021,34.00,0.62,-2.00,0.61,0.62,78690,6617
AMC,36,call,07/16/2021,07/15/2021,34.00,2.67,0.59,2.54,2.68,11419,2160
AMC,36,put,07/16/2021,07/15/2021,35.00,0.95,-2.25,0.93,0.95,61357,22806
AMC,36,call,07/16/2021,07/15/2021,35.00,1.90,0.25,1.86,2.00,43752,4906
AMC,36,put,07/16/2021,07/15/2021,36.00,1.43,-2.47,1.41,1.45,47975,4527
AMC,36,call,07/16/2021,07/15/2021,36.00,1.45,0.13,1.43,1.45,46980,4588
AMC,36,put,07/16/2021,07/15/2021,37.00,2.10,-2.53,1.95,2.15,10483,4360
AMC,36,call,07/16/2021,07/15/2021,37.00,1.05,0.03,1.05,1.07,47464,4803
AMC,36,put,07/16/2021,07/15/2021,38.00,2.72,-2.71,2.73,3.30,4194,5791
